0.00,367727.43,3713897.05
1.00,367727.69,3713892.31
2.00,367707.74,3713891.11
3.00,367533.10,3713881.51
4.00,367479.39,3713878.17
5.00,367434.56,3713876.26
6.00,367394.46,3713873.63
7.00,367383.45,3713873.05
8.00,367367.07,3713872.27
9.00,367367.09,3713876.57
10.00,367367.11,3713880.86
11.00,367383.42,3713881.58
12.00,367639.14,3713897.26
13.00,367702.36,3713900.30
14.00,367706.93,3713900.51
15.00,367727.18,3713901.79
16.00,367727.18,3713901.79
17.00,367757.51,3713903.85
18.00,367757.68,3713899.16
19.00,367757.86,3713894.47
20.00,367727.69,3713892.31
21.00,367727.18,3713901.79
22.00,367726.65,3713911.89
23.00,367723.55,3713973.51
24.00,367724.74,3713852.10
25.00,367729.12,3713860.74
26.00,367728.44,3713876.67
27.00,367728.26,3713881.80
28.00,367727.69,3713892.31
29.00,367367.07,3713872.27
30.00,367352.71,3713872.33
31.00,367334.17,3713872.84
32.00,367314.85,3713874.43
33.00,367295.55,3713877.00
34.00,367276.12,3713880.31
35.00,367276.13,3713875.58
36.00,367368.59,3713836.90
37.00,367368.12,3713849.86
38.00,367367.44,3713863.55
39.00,367367.07,3713872.27
40.00,367366.45,3713927.43
41.00,367366.87,3713890.72
42.00,367367.11,3713880.86
43.00,367177.94,3713913.78
44.00,367177.60,3713918.46
45.00,367218.71,3713903.67
46.00,367239.32,3713897.47
47.00,367258.63,3713892.95
48.00,367276.35,3713888.99
49.00,367296.38,3713885.64
50.00,367315.33,3713883.11
51.00,367333.80,3713881.57
52.00,367352.49,3713880.90
53.00,367367.11,3713880.86
54.00,367757.86,3713894.47
55.00,367758.38,3713883.63
56.00,367759.63,3713824.21
57.00,367753.83,3713974.99
58.00,367756.55,3713919.26
59.00,367756.86,3713913.84
60.00,367757.51,3713903.85
61.00,367759.32,3713775.92
62.00,367759.47,3713766.54
63.00,367860.13,3713830.39
64.00,367770.83,3713824.75
65.00,366480.04,3714011.93
66.00,366483.69,3714022.26
67.00,366492.49,3714046.96
68.00,366495.39,3714055.37
69.00,366498.05,3714063.26
70.00,366495.39,3714055.37
71.00,366484.04,3714056.85
72.00,366379.62,3714070.39
73.00,366358.59,3714073.11
74.00,366336.20,3714076.01
75.00,366321.48,3714077.93
76.00,366322.88,3714086.78
77.00,366324.27,3714095.63
78.00,366338.70,3714093.26
79.00,366377.52,3714088.81
80.00,366428.29,3714081.99
81.00,366485.52,3714073.42
82.00,366500.71,3714071.14
83.00,366519.03,3714147.00
84.00,366517.19,3714117.55
85.00,366516.07,3714112.15
86.00,366514.96,3714109.40
87.00,366512.74,3714106.97
88.00,366512.02,3714106.16
89.00,366511.23,3714105.11
90.00,366510.56,3714103.20
91.00,366506.92,3714091.88
92.00,366503.17,3714079.47
93.00,366500.71,3714071.14
94.00,366500.71,3714071.14
95.00,366515.46,3714069.56
96.00,366608.53,3714056.12
97.00,366598.38,3714041.40
98.00,366570.20,3714045.23
99.00,366513.07,3714052.97
100.00,366495.39,3714055.37
101.00,366468.36,3713978.88
102.00,366312.59,3714025.66
103.00,366314.25,3714031.39
104.00,366319.99,3714068.34
105.00,366321.48,3714077.93
106.00,366321.48,3714077.93
107.00,366308.22,3714079.47
108.00,366295.29,3714080.97
109.00,366189.47,3714096.25
110.00,366176.08,3714098.19
111.00,366178.40,3714105.91
112.00,366180.73,3714113.62
113.00,366191.72,3714112.28
114.00,366310.24,3714097.19
115.00,366324.27,3714095.63
116.00,366333.57,3714177.62
117.00,366328.57,3714124.37
118.00,366326.27,3714108.48
119.00,366324.27,3714095.63
120.00,364920.63,3714228.00
121.00,364916.16,3714233.40
122.00,364911.62,3714239.73
123.00,364902.30,3714252.39
124.00,364884.41,3714245.28
125.00,364876.53,3714243.72
126.00,364861.20,3714244.10
127.00,364838.47,3714247.09
128.00,364825.86,3714248.74
129.00,364992.04,3714265.02
130.00,364990.32,3714257.39
131.00,364976.10,3714260.79
132.00,364972.66,3714261.60
133.00,364957.97,3714265.07
134.00,364948.46,3714265.63
135.00,364941.31,3714265.17
136.00,364935.54,3714264.34
137.00,364926.37,3714261.68
138.00,364908.96,3714164.22
139.00,364910.38,3714174.02
140.00,364917.26,3714220.68
141.00,365012.23,3714203.11
142.00,365003.37,3714205.94
143.00,364930.14,3714227.10
144.00,364772.28,3714256.06
145.00,364747.35,3714260.17
146.00,364740.56,3714269.67
147.00,364817.36,3714179.60
148.00,364817.91,3714191.00
149.00,364824.59,3714238.73
150.00,364681.03,3714270.44
151.00,364621.72,3714280.06
152.00,364607.29,3714281.19
153.00,364672.45,3714199.48
154.00,364673.33,3714205.94
155.00,364679.95,3714260.70
156.00,364731.84,3714261.85
157.00,364707.69,3714265.94
158.00,364594.23,3714282.04
159.00,364575.95,3714281.47
160.00,364507.21,3714277.13
161.00,364606.32,3714270.95
162.00,364601.57,3714209.42
163.00,364601.00,3714203.23
164.00,364661.25,3714114.23
165.00,364662.38,3714120.18
166.00,364671.32,3714192.13
167.00,364722.70,3714192.12
168.00,364713.16,3714193.47
169.00,364679.31,3714198.24
170.00,364607.60,3714202.99
171.00,364665.99,3714200.18
172.00,364322.21,3714195.57
173.00,364313.44,3714234.44
174.00,364311.07,3714245.62
175.00,364309.39,3714253.39
176.00,364311.07,3714245.62
177.00,364294.96,3714242.14
178.00,364223.16,3714225.17
179.00,364155.49,3714209.82
180.00,364142.48,3714206.76
181.00,364140.41,3714215.16
182.00,364138.33,3714223.57
183.00,364152.26,3714227.07
184.00,364180.32,3714233.15
185.00,364203.71,3714238.19
186.00,364208.83,3714239.30
187.00,364292.17,3714257.25
188.00,364307.71,3714261.17
189.00,364272.54,3714428.22
190.00,364273.81,3714422.21
191.00,364274.49,3714419.02
192.00,364282.06,3714383.28
193.00,364283.68,3714376.07
194.00,364284.95,3714370.07
195.00,364287.52,3714357.84
196.00,364294.84,3714323.47
197.00,364295.91,3714318.52
198.00,364304.94,3714273.23
199.00,364307.71,3714261.17
200.00,364307.71,3714261.17
201.00,364320.84,3714264.58
202.00,364325.67,3714265.62
203.00,364419.10,3714285.66
204.00,364430.14,3714288.09
205.00,364431.53,3714279.86
206.00,364412.18,3714268.77
207.00,364324.32,3714248.87
208.00,364311.07,3714245.62
209.00,364332.77,3714145.12
210.00,364330.81,3714154.48
211.00,364422.31,3714220.15
212.00,364327.88,3714198.64
213.00,364155.92,3714152.09
214.00,364164.63,3714154.23
215.00,364239.58,3714172.67
216.00,364318.04,3714192.43
217.00,364145.79,3714193.16
